15-JAN-1940,Lockheed 14-WF62 Super Electra,G-AFMO,British Airways,0,Heston Airport,, ,A1
22-JAN-1940,Lockheed 14-WF62 Super Electra,PK-AFO,KNILM,8,near Denpasar-Ngu...,, ,A1
30-JAN-1940,Ford 4-AT-E Tri-Motor,NC5092,White Pass Airways,0,"Carcross, YT",, ,A1
05-FEB-1940,Nakajima/Douglas DC-2,J-BBOT,Imperial Japanese Airways,0,"Diaoyu Dao, ...",, ,A1
10-FEB-1940,Savoia-Marchetti SM-75,I-LEAL,Ala Littoria,10,Aiello Calabro,, ,A1
20-FEB-1940,Ford 5-AT-.  Tri-Motor,AN-AA.,TACA de Nicaragua,0,near Prinzapolka,, ,A1
25-FEB-1940,Ford 5-AT-C Tri-Motor,TI-33,TACA,,San Isidro,, ,A1
01-MAR-1940,Handley Page HP.42E,G-AAGX,Imperial Airways,8,Gulf of Oman,,,A1
03-MAR-1940,Bloch 220,F-AOHA,Air France,3,near Orange,, ,A1
05-MAR-1940,Ford 5-AT-B Tri-Motor,XA-BCW,Mexicana,0,near San Martín V...,, ,A1
15-MAR-1940,de Havilland DH.86B Express,VH-UYW,private,,"near Kavieng, New...",, ,A1
16-MAR-1940,Savoia-Marchetti S.73,I-SUTO,ALI,14,Stromboli Is...,, ,A1
19-MAR-1940,Handley Page HP.42W,G-AAXC,Imperial Airways,0,Bristol-Whit...,, ,O1
19-MAR-1940,Handley Page HP.42W,G-AAUD,Imperial Airways,0,Bristol-Whit...,, ,O1
03-APR-1940,Douglas DC-2-112,NC13786,TWA,,"Pittsburgh, PA",, ,A1
09-APR-1940,Short Sunderland,L2167,RAF,9,near Sylling,, ,C1
13-APR-1940,Junkers Ju-52/3mg4e,SE+JZ,German AF,0,Gullesfjordb...,, ,A1
13-APR-1940,Junkers Ju-52/3mg4e,CN+BS,German AF,0,Gullesfjordb...,, ,A1
13-APR-1940,Junkers Ju-52/3m,NG+BU,German AF,,"Froysjoen, B...",, ,C1
13-APR-1940,Junkers Ju-52/3m, ,German AF,,"Gangsoya, So...",, ,A1
13-APR-1940,Junkers Ju-52/3m, ,German AF,,"Gangsoya, So...",, ,A1
13-APR-1940,Junkers Ju-52/3mg4e,DB+JY,German AF,,Hartvikvatne...,, ,A1
14-APR-1940,Junkers Ju-52/3m,1Z+..,German AF,1,"Lillehammer,...",, ,C1
14-APR-1940,Junkers Ju-52/3m,1Z+AT,German AF,,"Valebu, Ring...",, ,A1
14-APR-1940,Junkers Ju-52/3m,1Z+GS,German AF,3,"Graberget, D...",, ,C1
14-APR-1940,Junkers Ju-52/3m,.. + ..,German AF,,"River Vorma,...",, ,A1
14-APR-1940,Junkers Ju-52/3m,1Z+MN,German AF,0,"Honefoss, Ri...",, ,A1
14-APR-1940,Junkers Ju-52/3m,1Z+.C,German AF,,"Galderud, Ko...",, ,A1
14-APR-1940,Junkers Ju-52/3mg4e,SE+HU,German AF,,"Sivebo, Greb...",, ,A2
16-APR-1940,Junkers Ju-52/3mg4e,1Z+IY,German AF,4,"Kvamen, Sokn...",, ,A1
16-APR-1940,Junkers Ju-52/3mg3e,SE+HM,German AF,0,Grums,, ,A2
16-APR-1940,Junkers Ju-52/3m,1Z+BC,German AF,0,"Lake Vänern,...",, ,A1
17-APR-1940,Junkers Ju-52/3m,IZ+FT,German AF,17,"Langevannet,...",, ,A1
17-APR-1940,Junkers Ju-52/3m,SE+KC,German AF,,"Arbrå, Bollnäs",, ,A1
22-APR-1940,Lockheed 14-WF62 Super Electra,G-AFKD,BOAC,3,"near Loch Lomond,...",, ,A1
02-MAY-1940,de Havilland DH.86B Express,OH-IPA,Finnish AF,0,Helsinki-Mal...,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,Valkenburg,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,'s Gravenzande,, ,A1
10-MAY-1940,Junkers Ju-52/3m,GS+AJ,German AF,,,, ,A1
