Name,Link to soldier on AWM,Birth date,Date of birth,Birth place,Date and unit at enlistment (ORs),Final rank,Date of discharge,Conflict,Unit,Units,Date of embarkation,Embarkation date,Service number,Death date,Date of death,Death place,Place of death
Private Frederick Thomas Adams,https://www.awm.gov.au/people/P10677824/#biography,1878,1878,"Australia: South Australia, Port Lincoln",1915-01-27,Private,1915-04-16,"First World War, 1914-1918","Depot
27th Australian Infantry Battalion",none,none,none,none,none,none,none,none
Private William Ah See,https://www.awm.gov.au/people/P10677614/#biography,1890,1890,"Australia: Queensland, Taroom",none,Private,none,none,none,none,1916-05-18,none,"113 - First World War, 1914-1918",none,none,none,none
Private William Clarence Way Ahang,https://www.awm.gov.au/people/P10677605/#biography,1888,1888,"Australia: South Australia, Port Lincoln",none,Private,none,none,none,none,1916-04-11,none,"1822 - First World War, 1914-1918",none,none,none,none
Private George Robert Aitken,https://www.awm.gov.au/people/P10677607/#biography,1893,1893,"Australia: Queensland, Taroom",none,Private,none,none,52nd Australian Infantry Battalion,none,1916-09-19,none,"2367 - First World War, 1914-1918",19 October 1917,1917-10-19,Belgium,none
Tony Albert,https://www.awm.gov.au/people/P10028711/#biography,1981,1981,"Australia: Queensland, North Queensland, Townsville",none,none,none,none,none,none,none,none,none,none,none,none,none
Private Henry William Alberts,https://www.awm.gov.au/people/P10677826/#biography,1889,1889,"Australia: Victoria, Lake Condah",1916-06-21,Private,1916-09-26,none,10th Australian Infantry Battalion,none,none,none,"45509 - First World War, 1914-1918",none,none,none,none
Private William (Willie) Allen,https://www.awm.gov.au/people/P10162636/#biography,1886,1886,"Australia: Northern Territory, Darwin",1918-12-10,Private,none,none,11th Australian Light Horse Regiment,none,none,none,"50246 - First World War, 1914-1918",1959,1959,none,none
Charles Alley,https://www.awm.gov.au/people/P10678225/#biography,11 August 1901,1901-08-11,"Australia: Queensland, Charters Towers",none,none,none,none,"11th Australian Light Horse Regiment
1st Garrison Battalion",none,none,none,"50270 - First World War, 1914-191853365 - First World War, 1914-1918Q186382 - Second World War, 1939-1945",1969,1969,none,none
Private Charles Almat,https://www.awm.gov.au/people/P10460433/#biography,1894,1894,none,none,Private,none,none,5th Australian Training Battalion,none,1918-07-17,none,"57817 - First World War, 1914-1918",none,none,none,none
Private James Henry Anderson,https://www.awm.gov.au/people/P10618107/#biography,1895,1895,"Australia: Tasmania, Latrobe",none,Private,none,none,none,none,1916-07-01,none,"332 - First World War, 1914-1918",none,none,none,none
